epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,569.99,1.23178,1.0266,1.38855,0.46953,0.51238,0.48522,0.246,2.41499,2.20112,2.52451,0.000701841,0.000701841,0.000701841
95,575.829,1.27329,1.06598,1.39525,0.6308,0.38268,0.44054,0.20649,2.57575,2.43844,2.74644,0.000697441,0.000697441,0.000697441
96,581.797,1.22661,1.03035,1.36445,0.49299,0.52437,0.46138,0.236,2.39126,2.58963,2.63215,0.000693042,0.000693042,0.000693042
97,587.475,1.22488,1.03214,1.40456,0.4219,0.50908,0.44853,0.2382,2.28072,2.56724,2.54037,0.000688642,0.000688642,0.000688642
98,593.386,1.23139,1.01287,1.38945,0.69571,0.42137,0.44978,0.25346,2.25116,2.38885,2.43995,0.000684243,0.000684243,0.000684243
99,599.06,1.23802,1.02113,1.39328,0.61157,0.49111,0.48422,0.24355,2.27781,2.14414,2.5123,0.000679843,0.000679843,0.000679843
100,604.613,1.2908,1.07267,1.39404,0.63679,0.41259,0.45914,0.22932,2.39865,2.31305,2.64237,0.000675444,0.000675444,0.000675444
101,610.44,1.24012,1.06264,1.39065,0.61903,0.46607,0.48252,0.24464,2.29097,2.24786,2.55583,0.000671044,0.000671044,0.000671044
102,615.772,1.215,1.01318,1.39003,0.65159,0.43022,0.48468,0.23063,2.32311,2.2313,2.51211,0.000666644,0.000666644,0.000666644
103,621.82,1.21262,1.03536,1.37252,0.4929,0.45304,0.42365,0.19536,2.51008,2.2126,2.68268,0.000662245,0.000662245,0.000662245
104,627.265,1.19779,1.03297,1.38839,0.51059,0.43834,0.4328,0.22943,2.30727,2.24914,2.49132,0.000657845,0.000657845,0.000657845
105,633.554,1.15169,0.97121,1.36317,0.47854,0.45124,0.43534,0.24402,2.31564,2.41021,2.54529,0.000653446,0.000653446,0.000653446
106,639.05,1.1825,1.01603,1.36743,0.67409,0.41432,0.4696,0.25041,2.31029,2.39407,2.50162,0.000649046,0.000649046,0.000649046
107,644.78,1.14407,0.95879,1.33599,0.72446,0.48546,0.50616,0.26688,2.21744,2.47057,2.47523,0.000644647,0.000644647,0.000644647
108,650.482,1.17141,0.93479,1.35103,0.61248,0.45114,0.44776,0.243,2.32014,2.34867,2.55388,0.000640247,0.000640247,0.000640247
109,656,1.21739,0.99399,1.37115,0.58511,0.46604,0.47774,0.26987,2.31642,2.45586,2.51098,0.000635848,0.000635848,0.000635848
110,662.047,1.18415,0.96422,1.3535,0.58567,0.49166,0.50024,0.25643,2.466,2.16199,2.63898,0.000631448,0.000631448,0.000631448
111,667.468,1.175,0.96525,1.37193,0.69374,0.49764,0.52821,0.28194,2.33207,2.14285,2.53776,0.000627048,0.000627048,0.000627048
112,673.594,1.18437,0.96851,1.36343,0.72745,0.48856,0.53205,0.26459,2.2709,2.30635,2.50491,0.000622649,0.000622649,0.000622649
113,678.96,1.11214,0.87933,1.3289,0.61308,0.47346,0.5053,0.25918,2.30315,2.28626,2.5197,0.000618249,0.000618249,0.000618249
114,685.179,1.16109,1.01382,1.35893,0.65012,0.50209,0.50339,0.28163,2.18728,2.3283,2.43128,0.00061385,0.00061385,0.00061385
