epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,863.227,1.2575,1.12208,1.38818,0.44165,0.439,0.39468,0.20465,2.71572,2.72013,2.98931,0.00043075,0.00043075,0.00043075
94,872.269,1.21205,1.10747,1.37511,0.60905,0.46849,0.41529,0.22134,2.6456,3.20721,2.81115,0.000424562,0.000424562,0.000424562
95,881.485,1.18568,1.07588,1.36786,0.67567,0.42848,0.39575,0.20436,2.6179,3.02274,2.72002,0.000418375,0.000418375,0.000418375
96,890.022,1.21284,1.07801,1.37819,0.4398,0.43517,0.41137,0.21453,2.58423,2.76901,2.77065,0.000412188,0.000412188,0.000412188
97,899.156,1.14793,0.99828,1.34079,0.71111,0.43047,0.41109,0.19999,2.51262,2.90507,2.76426,0.000406,0.000406,0.000406
98,908.118,1.19772,1.02952,1.32884,0.68199,0.44545,0.40349,0.22823,2.46896,3.06575,2.69075,0.000399813,0.000399813,0.000399813
99,916.747,1.13634,1.02272,1.32144,0.70591,0.42431,0.41086,0.21779,2.55372,3.13465,2.76317,0.000393625,0.000393625,0.000393625
100,925.855,1.09079,0.94992,1.28358,0.47511,0.4588,0.41628,0.20616,2.58473,2.84224,2.83157,0.000387437,0.000387437,0.000387437
101,934.817,1.19311,1.05313,1.34469,0.53148,0.42431,0.42304,0.22763,2.57506,3.02665,2.76781,0.00038125,0.00038125,0.00038125
102,943.521,1.13953,0.97838,1.30983,0.47363,0.42476,0.41267,0.22373,2.57602,2.86464,2.74607,0.000375063,0.000375063,0.000375063
103,952.376,1.15626,0.9814,1.32048,0.46108,0.42798,0.39045,0.20732,2.62876,2.94524,2.74663,0.000368875,0.000368875,0.000368875
104,961.209,1.09596,0.95586,1.29445,0.7132,0.43811,0.4263,0.22004,2.57055,2.85582,2.76378,0.000362687,0.000362687,0.000362687
105,970.292,1.14358,0.99328,1.32415,0.66628,0.41831,0.41693,0.22496,2.52349,2.79327,2.6924,0.0003565,0.0003565,0.0003565
106,978.97,1.12106,0.92652,1.30335,0.47249,0.46407,0.43237,0.22196,2.55381,2.7745,2.78005,0.000350313,0.000350313,0.000350313
107,987.801,1.15509,1.0361,1.33486,0.60818,0.46757,0.42129,0.23977,2.48677,2.86737,2.71373,0.000344125,0.000344125,0.000344125
108,997.401,1.147,0.9613,1.29704,0.63379,0.44116,0.43142,0.24526,2.46283,2.89872,2.65821,0.000337938,0.000337938,0.000337938
109,1005.66,1.10728,0.92977,1.27266,0.65183,0.41141,0.39977,0.23834,2.52656,2.8837,2.66087,0.00033175,0.00033175,0.00033175
110,1014.99,1.10089,0.93865,1.28614,0.64862,0.41141,0.39604,0.21912,2.45096,2.99733,2.62373,0.000325563,0.000325563,0.000325563
111,1024.31,1.07081,0.9389,1.26632,0.65905,0.43121,0.41096,0.22437,2.41953,2.96143,2.62184,0.000319375,0.000319375,0.000319375
112,1032.88,1.08225,0.92532,1.2681,0.64731,0.43165,0.39746,0.22357,2.52944,3.25357,2.78198,0.000313187,0.000313187,0.000313187
113,1041.52,1.07562,0.91788,1.28583,0.6424,0.43165,0.41048,0.22079,2.57235,2.93757,2.85146,0.000307,0.000307,0.000307
114,1050.65,1.03876,0.91487,1.24723,0.72385,0.4252,0.42454,0.22916,2.47527,3.1181,2.78829,0.000300812,0.000300812,0.000300812
115,1059.09,1.10846,0.92074,1.28764,0.70479,0.38973,0.40964,0.22022,2.4602,3.11493,2.74908,0.000294625,0.000294625,0.000294625
116,1068.23,1.09687,0.92694,1.27987,0.6416,0.39125,0.40629,0.23776,2.49397,2.89353,2.71945,0.000288438,0.000288438,0.000288438
117,1077.07,1.03847,0.88929,1.2572,0.62725,0.44952,0.41743,0.2385,2.53214,2.82743,2.71604,0.00028225,0.00028225,0.00028225
118,1086.14,1.04014,0.86325,1.27479,0.73775,0.44031,0.43035,0.24466,2.47163,2.95455,2.67242,0.000276063,0.000276063,0.000276063
119,1094.99,1.02687,0.84568,1.25385,0.72735,0.42565,0.4213,0.23665,2.49905,2.95544,2.78768,0.000269875,0.000269875,0.000269875
120,1103.58,1.02887,0.85943,1.24075,0.68277,0.42087,0.41201,0.23255,2.56099,2.96871,2.75791,0.000263687,0.000263687,0.000263687
121,1113.1,1.03322,0.84589,1.24772,0.76028,0.3814,0.42739,0.22961,2.52772,2.92191,2.64472,0.0002575,0.0002575,0.0002575
122,1121.83,1.04264,0.86741,1.24704,0.7822,0.43612,0.4291,0.2194,2.5469,3.07178,2.66442,0.000251313,0.000251313,0.000251313
123,1130.66,0.98615,0.85269,1.22072,0.7415,0.45188,0.4148,0.20279,2.57003,2.96968,2.69574,0.000245125,0.000245125,0.000245125
124,1139.86,0.97078,0.80921,1.18763,0.65371,0.43899,0.41056,0.22495,2.57932,3.08157,2.87556,0.000238937,0.000238937,0.000238937
125,1148.65,1.00263,0.81922,1.22265,0.63005,0.42502,0.39494,0.23094,2.48052,3.19513,2.77521,0.00023275,0.00023275,0.00023275
126,1157.79,0.99682,0.80498,1.20497,0.67069,0.4252,0.39398,0.23508,2.51005,3.05247,2.75969,0.000226563,0.000226563,0.000226563
127,1167.07,1.01277,0.83281,1.21543,0.65278,0.43165,0.41361,0.2294,2.52421,2.92121,2.77501,0.000220375,0.000220375,0.000220375
128,1175.59,0.97212,0.81434,1.21017,0.65919,0.41786,0.40843,0.22257,2.60533,3.03873,2.80111,0.000214188,0.000214188,0.000214188
129,1185.4,0.9551,0.75409,1.19434,0.68296,0.42165,0.40119,0.22681,2.60331,3.21256,2.81169,0.000208,0.000208,0.000208
130,1193.92,0.9674,0.80366,1.19724,0.72906,0.41195,0.39663,0.21713,2.67327,3.05465,3.00301,0.000201812,0.000201812,0.000201812
131,1202.65,0.9876,0.81087,1.20563,0.7139,0.45149,0.42496,0.23235,2.58347,3.24342,2.8594,0.000195625,0.000195625,0.000195625
132,1211.9,0.94055,0.7895,1.18253,0.70404,0.44278,0.44865,0.244,2.569,3.08757,2.80871,0.000189438,0.000189438,0.000189438
133,1220.69,0.97351,0.8106,1.2032,0.72554,0.43552,0.44032,0.25269,2.52881,2.97252,2.83703,0.00018325,0.00018325,0.00018325
134,1229.75,0.93176,0.75938,1.17759,0.70964,0.45445,0.42995,0.23297,2.64601,2.98944,2.87126,0.000177062,0.000177062,0.000177062
135,1238.96,0.98328,0.78554,1.20519,0.69804,0.44843,0.43723,0.23297,2.60818,3.20365,2.82443,0.000170875,0.000170875,0.000170875
136,1247.73,0.94904,0.74027,1.19528,0.73794,0.43633,0.43838,0.23853,2.58871,3.1187,2.78864,0.000164688,0.000164688,0.000164688
137,1256.75,0.91373,0.75985,1.17344,0.72866,0.43333,0.42522,0.23813,2.53289,2.91929,2.78779,0.0001585,0.0001585,0.0001585
138,1265.55,0.97362,0.81446,1.2069,0.75102,0.40442,0.42019,0.23997,2.51903,2.82855,2.79518,0.000152313,0.000152313,0.000152313
139,1274.65,0.99154,0.78477,1.21213,0.76164,0.4252,0.42758,0.24218,2.50435,2.82255,2.80034,0.000146125,0.000146125,0.000146125
140,1283.88,0.92176,0.74597,1.17431,0.73727,0.43748,0.42385,0.22623,2.53151,3.04985,2.88391,0.000139938,0.000139938,0.000139938
141,1292.77,0.9004,0.72602,1.14379,0.76286,0.40791,0.4101,0.2141,2.62323,3.14637,2.98667,0.00013375,0.00013375,0.00013375
142,1302.01,0.94753,0.79087,1.17512,0.72181,0.4123,0.4142,0.21534,2.6718,3.25881,3.0284,0.000127563,0.000127563,0.000127563
143,1310.78,0.93954,0.74157,1.16315,0.66709,0.42603,0.41946,0.23148,2.65037,3.07224,3.11758,0.000121375,0.000121375,0.000121375
144,1320.38,0.93962,0.74538,1.18436,0.6923,0.42647,0.42517,0.23828,2.61794,3.28448,2.96384,0.000115187,0.000115187,0.000115187
145,1328.83,0.90045,0.70613,1.16301,0.68032,0.4294,0.40699,0.21652,2.60494,3.24203,2.93261,0.000109,0.000109,0.000109
146,1338.02,0.91172,0.73096,1.16702,0.67773,0.4321,0.40671,0.21306,2.55527,3.26544,2.82709,0.000102812,0.000102812,0.000102812
147,1347.13,0.89986,0.72254,1.14578,0.72572,0.41185,0.39512,0.21013,2.566,3.13935,2.82413,9.6625e-05,9.6625e-05,9.6625e-05
148,1355.8,0.91155,0.74409,1.16137,0.7809,0.41761,0.41281,0.21537,2.54253,3.10992,2.80304,9.04375e-05,9.04375e-05,9.04375e-05
149,1364.57,0.90362,0.74192,1.15664,0.70573,0.4252,0.40561,0.21414,2.53871,3.17288,2.82455,8.425e-05,8.425e-05,8.425e-05
150,1373.4,0.88447,0.69614,1.15594,0.67306,0.47094,0.41582,0.21936,2.55185,3.21105,2.84438,7.80625e-05,7.80625e-05,7.80625e-05
151,1385.32,0.84611,0.62635,1.12366,0.6897,0.42127,0.39171,0.21362,2.62944,3.25286,2.93262,7.1875e-05,7.1875e-05,7.1875e-05
152,1394.05,0.87068,0.67727,1.15364,0.68702,0.47655,0.42074,0.21575,2.6641,3.16618,2.96957,6.56875e-05,6.56875e-05,6.56875e-05
153,1402.36,0.78357,0.59065,1.10743,0.66216,0.49254,0.42037,0.21926,2.70378,3.12623,3.03344,5.95e-05,5.95e-05,5.95e-05
154,1411.11,0.84093,0.63476,1.1141,0.72544,0.43165,0.41893,0.2283,2.71621,3.11758,3.11207,5.33125e-05,5.33125e-05,5.33125e-05
155,1419.35,0.84508,0.58454,1.12368,0.73901,0.43689,0.41423,0.22895,2.69863,3.17259,3.04922,4.7125e-05,4.7125e-05,4.7125e-05
156,1428.13,0.82638,0.6083,1.10818,0.73709,0.43165,0.40432,0.22552,2.68821,3.25118,3.03459,4.09375e-05,4.09375e-05,4.09375e-05
157,1436.53,0.79011,0.56616,1.10612,0.73604,0.42476,0.40309,0.21606,2.64643,3.24812,3.02657,3.475e-05,3.475e-05,3.475e-05
158,1444.71,0.79327,0.58912,1.12043,0.73556,0.4283,0.39836,0.2261,2.62834,3.26973,2.96164,2.85625e-05,2.85625e-05,2.85625e-05
159,1453.07,0.79929,0.57786,1.112,0.74113,0.42476,0.39987,0.22388,2.64669,3.24375,3.00801,2.2375e-05,2.2375e-05,2.2375e-05
160,1461.78,0.77711,0.55669,1.10571,0.74019,0.43165,0.40333,0.22534,2.61965,3.28571,2.92546,1.61875e-05,1.61875e-05,1.61875e-05
